4518,37,0.181,722
4538,41,0.200,800
4562,40,0.195,781
4584,41,0.200,800
4608,41,0.200,800
4631,41,0.200,800
4654,40,0.195,781
4677,41,0.200,800
4700,41,0.200,800
4723,41,0.200,800
4747,41,0.200,800
4769,41,0.200,800
4793,38,0.186,742
4816,39,0.190,761
4839,38,0.186,742
4862,39,0.190,761
4885,45,0.220,878
4909,45,0.220,878
4931,44,0.215,859
4955,43,0.210,839
4977,43,0.210,839
5001,43,0.210,839
5024,42,0.205,820
5047,39,0.190,761
5070,42,0.205,820
5093,45,0.220,878
5117,44,0.215,859
5144,44,0.215,859
5167,44,0.215,859
5190,44,0.215,859
5213,43,0.210,839
5236,45,0.220,878
5259,44,0.215,859
5282,43,0.210,839
5306,43,0.210,839
5329,43,0.210,839
5353,45,0.220,878
5387,42,0.205,820
5410,42,0.205,820
5434,39,0.190,761
5457,43,0.210,839
5480,46,0.225,898
5504,38,0.186,742
5526,39,0.190,761
5550,39,0.190,761
5572,38,0.186,742
5596,38,0.186,742
5619,38,0.186,742
5642,43,0.210,839
5665,43,0.210,839
5689,37,0.181,722
5712,37,0.181,722
5735,38,0.186,742
5758,38,0.186,742
5787,38,0.186,742
5810,38,0.186,742
5833,39,0.190,761
5856,39,0.190,761
5879,37,0.181,722
5903,37,0.181,722
5926,39,0.190,761
5949,39,0.190,761
5973,38,0.186,742
5995,38,0.186,742
6019,41,0.200,800
6042,43,0.210,839
6065,43,0.210,839
6088,41,0.200,800
6112,41,0.200,800
6134,39,0.190,761
6158,40,0.195,781
6182,39,0.190,761
6204,39,0.190,761
6228,39,0.190,761
6251,41,0.200,800
6274,41,0.200,800
6297,41,0.200,800
6320,41,0.200,800
6343,42,0.205,820
6367,41,0.200,800
6389,40,0.195,781
6417,39,0.190,761
6441,39,0.190,761
6463,41,0.200,800
6487,40,0.195,781
6509,40,0.195,781
6533,39,0.190,761
6556,39,0.190,761
6579,39,0.190,761
6602,38,0.186,742
6625,37,0.181,722
6648,37,0.181,722
6671,38,0.186,742
6695,37,0.181,722
6718,38,0.186,742
6741,44,0.215,859
6764,43,0.210,839
6787,38,0.186,742
6810,43,0.210,839
6833,37,0.181,722
